Date,Open,High,Low,Close,Adj Close,Volume
2018-08-21,625.4000244140625,638.25,617.2999877929688,635.75,634.96142578125,15522297
2018-08-23,644.6500244140625,644.6500244140625,628.5499877929688,631.75,630.9663696289062,12699837
2018-08-24,638.0499877929688,643.4000244140625,634.0,639.9000244140625,639.1063232421875,15035968
2018-08-27,643.0,651.5,642.0,650.2000122070312,649.3934936523438,9819034
2018-08-28,652.0,662.7999877929688,642.0,660.0499877929688,659.2312622070312,9886447
2018-08-29,657.5,667.6500244140625,653.25,656.9000244140625,656.085205078125,13329261
2018-08-30,661.8499755859375,661.8499755859375,643.0499877929688,649.75,648.944091796875,14868623
2018-08-31,649.5,653.5,641.25,649.25,648.4447021484375,10207700
2018-09-03,655.4500122070312,655.4500122070312,629.5999755859375,631.7999877929688,631.0162963867188,6494484
2018-09-04,631.0,644.4000244140625,622.75,641.7999877929688,641.00390625,9305124
2018-09-05,641.0,646.6500244140625,631.3499755859375,637.6500244140625,636.859130859375,8837398
2018-09-06,638.9000244140625,643.2999877929688,624.5999755859375,638.2000122070312,637.4083862304688,10026621
2018-09-07,640.0,648.0,632.0999755859375,645.5499877929688,644.749267578125,6999943
2018-09-10,644.9500122070312,677.9500122070312,643.2999877929688,651.75,650.9415893554688,32430222
2018-09-11,651.6500244140625,665.7000122070312,647.4500122070312,650.1500244140625,649.3435668945312,19162102
2018-09-12,665.0,665.0,630.0999755859375,635.4500122070312,634.6618041992188,14448365
2018-09-14,641.7999877929688,644.0,632.0,636.4000244140625,635.6106567382812,12083354
2018-09-17,633.7000122070312,634.0,622.0,625.9500122070312,625.173583984375,6644742
2018-09-18,624.0,633.0499877929688,606.1500244140625,608.5999755859375,607.8450927734375,10724450
2018-09-19,611.5999755859375,622.5,601.2999877929688,608.7999877929688,608.0448608398438,9373364
2018-09-21,618.9500122070312,634.0,563.4000244140625,599.2000122070312,598.456787109375,24788799
2018-09-24,599.5999755859375,605.75,587.8499755859375,597.3499755859375,596.6090087890625,11998797
2018-09-25,598.7999877929688,619.7999877929688,589.5499877929688,614.3499755859375,613.5879516601562,17515392
2018-09-26,619.0,624.3499755859375,612.0499877929688,617.4500122070312,616.6841430664062,8725133
2018-09-27,617.3499755859375,619.75,597.0,600.1500244140625,599.4056396484375,9683836
2018-09-28,598.5,619.7999877929688,594.0499877929688,613.25,612.4893188476562,16754620
2018-10-01,615.0999755859375,617.5,572.5,593.4500122070312,592.7139282226562,20117451
2018-10-03,592.5999755859375,592.5999755859375,569.0999755859375,572.25,571.5402221679688,18385327
2018-10-04,565.0,590.5499877929688,553.7999877929688,586.25,585.5228271484375,16877024
2018-10-05,586.0,590.5,565.0,568.5,567.7948608398438,9860010
2018-10-08,570.0,574.5,546.0999755859375,556.5499877929688,555.8596801757812,12918017
2018-10-09,561.9000244140625,563.9000244140625,549.1500244140625,552.8499755859375,552.1642456054688,8053297
2018-10-10,553.9500122070312,590.7999877929688,552.8499755859375,589.2000122070312,588.4691772460938,13695001
2018-10-11,555.0,585.7999877929688,550.0999755859375,580.8499755859375,580.1295166015625,11223315
2018-10-12,589.6500244140625,602.25,580.75,584.9000244140625,584.174560546875,10689006
2018-10-15,585.0,585.0,569.4500122070312,576.5499877929688,575.8348388671875,5065325
2018-10-16,577.75,594.3499755859375,570.25,588.8499755859375,588.1195678710938,13083651
2018-10-17,594.75,598.7999877929688,566.5999755859375,576.0499877929688,575.33544921875,9609195
2018-10-19,570.4000244140625,576.5499877929688,554.5499877929688,562.5499877929688,561.8522338867188,12664549
2018-10-22,567.9500122070312,572.0,558.2000122070312,562.0499877929688,561.3528442382812,10235243
2018-10-23,557.0,571.4000244140625,553.5,562.75,562.052001953125,9513054
2018-10-24,574.5,576.9500122070312,557.25,564.0999755859375,563.4002685546875,9759225
2018-10-25,558.0,564.7000122070312,552.4500122070312,561.0499877929688,560.3540649414062,13041860
2018-10-26,562.0,564.0,534.5499877929688,537.7000122070312,537.0330810546875,9229395
2018-10-29,541.3499755859375,577.0,538.5499877929688,566.7000122070312,565.9970703125,15917739
2018-10-30,564.8499755859375,571.75,559.0,562.7000122070312,562.0020751953125,8522604
2018-10-31,568.2999877929688,586.0,558.0,582.4000244140625,581.6776123046875,12135088
2018-11-01,582.0499877929688,608.0499877929688,582.0499877929688,602.1500244140625,601.4031372070312,16048865
2018-11-02,612.4500122070312,617.9000244140625,605.0999755859375,610.6500244140625,609.892578125,12488669
2018-11-05,628.9000244140625,633.0,617.2000122070312,624.4000244140625,623.6255493164062,24201213
2018-11-06,626.0,628.0999755859375,600.0499877929688,607.4500122070312,606.696533203125,15354794
2018-11-07,612.9000244140625,612.9000244140625,604.6500244140625,606.8499755859375,606.0972290039062,1528117
2018-11-09,609.0,623.7999877929688,601.0,613.2000122070312,612.4393920898438,13927467
2018-11-12,612.5499877929688,618.5,604.7999877929688,606.5499877929688,605.7976684570312,7073703
2018-11-13,606.4500122070312,620.75,604.0499877929688,618.2999877929688,617.5330810546875,8938939
2018-11-14,622.25,623.2999877929688,608.7999877929688,612.7000122070312,611.9400634765625,9840254
2018-11-15,613.25,632.5,610.75,626.0999755859375,625.3233642578125,11005288
2018-11-16,626.5999755859375,636.7000122070312,616.5499877929688,619.7999877929688,619.0311889648438,12204545
2018-11-19,619.7999877929688,620.2999877929688,608.5999755859375,616.2999877929688,615.5355224609375,9046876
2018-11-20,614.7000122070312,619.5999755859375,609.5499877929688,612.6500244140625,611.89013671875,6658508
2018-11-21,610.9000244140625,628.6500244140625,610.2000122070312,626.8499755859375,626.0724487304688,7842430
2018-11-22,625.7999877929688,629.4000244140625,612.0999755859375,614.5499877929688,613.7877197265625,6946666
2018-11-26,618.6500244140625,634.75,616.5,631.0499877929688,630.2672729492188,9528169
2018-11-27,629.9000244140625,638.7000122070312,623.0,625.25,624.4744873046875,11251342
2018-11-28,630.0,631.7999877929688,622.5,627.9500122070312,627.171142578125,9035388
2018-11-29,632.0,636.2000122070312,621.5,631.4000244140625,630.6168823242188,19643832
2018-11-30,633.0,635.25,624.0,625.75,624.9738159179688,8984998
